 208 155.213     928 130.705    1648 114.726    2368  97.0054   3088 114.054
 209 136.717     929 111.756    1649 114.355    2369  73.8912   3089 101.66
 210 127.884     930 106.877    1650 113.621    2370  79.0112   3090 101.057
 211 121.356     931 109.846    1651 111.854    2371 133.966    3091 111.48
 212 119.374     932 108.498    1652 109.012    2372  77.5011   3092 109.053
 213 118.732     933 101.107    1653 102.457    2373  32.0264   3093  92.936
 214 112.218     934  96.7465   1654  99.815    2374  34.8043   3094  90.3884
 215  96.8697    935  90.9162   1655  98.2765   2375 164.492    3095  96.1398
 216 102.438     936  87.0787   1656  98.3062   2376 198.048    3096  85.7527
 217 139.667     937  80.6608   1657  99.502    2377 111.287    3097  62.6797
 218 143.674     938  72.3724   1658  97.037    2378  93.3434   3098  57.5455
 219 116.136     939  58.9123   1659  89.5514   2379 148.393    3099  58.9605
 220 107.989     940  59.6861   1660  89.0992   2380  57.9792   3100  94.4134
 221 109.541     941  76.8602   1661  95.0834   2381  21.1174   3101 211.734
 222 107.279     942  80.275    1662  98.1553   2382  23.519    3102 210.308
 223  99.3766    943  67.9441   1663  99.1996   2383 175.552    3103  76.25
 224 102.413     944  64.9579   1664  86.0025   2384 219.578    3104  63.1794
 225 121.216     945  65.8482   1665  62.2005   2385 211.866    3105 155.384
 226 128.36      946  59.1238   1666  66.6648   2386 202.769    3106 175.295
 227 128.857     947  45.647    1667 136.879    2387 195.643    3107 119.647
 228 130.221     948  48.3705   1668  75.7482   2388 202.882    3108 105.235
 229 134.245     949  82.1799   1669  29.091    2389 218.578    3109 124.717
 230 133.827     950  93.3487   1670  29.9003   2390 217.434    3110 140.564
 231 128.712     951  64.7207   1671  86.1384   2391 193.342    3111 152.385
 232 128.791     952  57.4472   1672 162.578    2392 188.817    3112  67.8951
 233 134.213     953  54.2927   1673 108.662    2393 212.714    3113  28.3096
 234 135.693     954  51.9052   1674  93.6464   2394 213.047    3114  35.8408
 235 134.013     955  48.4612   1675  96.778    2395 193.914    3115 222.346
 236 127.322     956  55.3622   1676  97.6298   2396 162.065    3116 231.554
 237 110.294     957 102.018    1677  95.2572   2397  87.0378   3117 207.716
 238 106.341     958 132.113    1678  90.7952   2398  76.7536   3118 190.694
 239 109.831     959 124.842    1679  80.9828   2399  97.1652   3119 210.562
 240 114.076     960 121.929    1680  87.1241   2400 111.467    3120 222.357
 241 120.955     961 107.986    1681 110.153    2401  50.4496   3121  82.5498
 242 115.688     962 112.672    1682 109.734    2402  47.3068   3122  70.2439
 243 104.396     963 142.23     1683 121.255    2403  79.8204   3123  66.4042
 244 102.474     964 148.024    1684 125.328    2404 121.585    3124  71.9351
 245 107.603     965 137.234    1685 125.827    2405 162.279    3125 100.083
 246 111.252     966 129.646    1686 122.713    2406  52.8948   3126 160.963
 247 116.26      967 118.966    1687 113.479    2407  20.546    3127 210.866
 248 114.826     968 112.778    1688 109.609    2408  19.9541   3128 213.804
 249 106.305     969 105.784    1689 107.298    2409  40.8139   3129 196.167
 250 104.784     970 113.749    1690 110.017    2410  71.1193   3130 186.664
 251 108.697     971 147.114    1691 120.868    2411  53.4893   3131 194.995
 252 113.089     972 155.755    1692 121.748    2412  51.0263   3132 199.421
 253 122.005     973 150.949    1693 113.273    2413  56.3747   3133 205.16
 254 123.083     974 151.048    1694 112.586    2414  63.3726   3134 208.265
 255 117.261     975 156.349    1695 119.202    2415  95.6873   3135 211.872
 256 113.996     976 150.392    1696 123.016    2416 105.926    3136 217.672
 257 110.763     977 124.526    1697 126.986    2417  79.873    3137 225.884
 258 114.882     978 114.659    1698 125.214    2418  80.4835   3138 228.21
 259 131.259     979 111.245    1699 116.183    2419 109.619    3139 230.459
 260 136.423     980 111.475    1700 111.91     2420 119.671    3140 228.184
 261 134.485     981 114.821    1701 108.294    2421 108.787    3141 215.204
