 306 110.498      681 122.717     1056 103.049     1431 112.719
 307 114          682 122.717     1057 106.185     1432 105.725
 308 114          683  58.2222    1058 106.185     1433  96.7807
 309 116          684  58.2222    1059 113         1434 105.033
 310 116          685  29.997     1060 113         1435 105.033
 311 112.5        686  28.5957    1061 105.889     1436   0
 312 112.5        687  33.8979    1062 105.889     1437  85.5442
 313 110          688  34.9389    1063 115         1438  85.5442
 314 110          689  63.9245    1064 115         1439  86.893
 315 106.556      690  63.9245    1065 117.64      1440  86.893
 316 106.556      691  82.7448    1066 117.64      1441  81.5206
 317  85.5556     692  82.5886    1067 109.222     1442  81.5206
 318  85.5556     693  85.6583    1068 109.222     1443  46.4405
 319  48.9041     694  85.2352    1069 114         1444  46.4405
 320  48.9041     695  79.1227    1070 114         1445 199.132
 321  47.8912     696  79.1227    1071 120.765     1446 231.877
 322  46.9877     697 140.071     1072 120.765     1447 188.661
 323  31.3063     698 177.079     1073 111.502     1448 229.15
 324  35.2153     699 152.279     1074 110.498     1449 229.15
 325  78.4444     700   0         1075 109.502     1450   0
 326  78.4444     701 110.739     1076 110.498     1451   0
 327 206.333      702 110.739     1077 105.333     1452   0
 328 206.333      703 116         1078 105.333     1453   0
 329 251.478      704 116         1079  97.5556    1454   0
 330 251.193      705 112.5       1080  97.5556    1455   0
 331 245.387      706 113.5       1081  47.3799    1456   0
 332 247.626      707 112.5       1082  47.3799    1457   0
 333 204.333      708 111.5       1083  59.1111    1458   0
 334 204.333      709 113         1084  59.1111    1459   0
 335 167.845      710 113         1085 122.444     1460   0
 336 159.155      711 122.093     1086 122.444     1461   0
 337 143.178      712 120.506     1087  78.1111    1462   0
 338 152.822      713 121.766     1088  78.1111    1463   0
 339 134.074      714 123.234     1089  70.7778    1464   0
 340 128.426      715 115         1090  70.7778    1465   0
 341 119.174      716 115         1091  87.472     1466   0
 342 124.826      717 114         1092  87.472     1467   0
 343 191.578      718 114         1093  70.7778    1468   0
 344 219.77       719 116.084     1094  70.7778    1469   0
 345 186.144      720 116.084     1095  75.8889    1470   0
 346 200.826      721 105.333     1096  75.8889    1471   0
 347 206.016      722 105.333     1097 141.107     1472   0
 348 195.61       723  86.8889    1098 157.801     1473   0
 349 186.242      724  86.8889    1099 147.893     1474   0
 350   0          725  71.7778    1100   0         1475   0
 351   0          726  71.7778    1101  71.4481    1476   0
 352   0          727  36.7494    1102  71.4481    1477   0
 353 115.002      728  36.7494    1103 108.111     1478   0
 354 115.002      729  59.1111    1104 108.111     1479   0
 355 109.502      730  59.1111    1105 120.556     1480   0
 356 109.502      731 129.283     1106 120.556     1481   0
 357 114          732 129.283     1107 103.815     1482   0
 358 114          733  71         1108 103.815     1483   0
 359 116          734  71         1109 110.469     1484   0
 360 116          735  24.4814    1110 109.531     1485   0
 361 111.5        736  24.4814    1111 110.387     1486   0
 362 111.5        737  74.098     1112 111.473     1487   0
 363 110          738  74.098     1113 106.338     1488   0
 364 110          739  71.5755    1114 106.338     1489   0
 365 106.556      740  71.5755    1115 116.36      1490   0
 366 106.556      741  78.1111    1116 116.36      1491   0
 367  85.5556     742  78.1111    1117 113.32      1492   0
 368  85.5556     743  82.5532    1118 113.32      1493   0
 369  67.5404     744  82.5532    1119 115         1494   0
 370  67.5404     745  76.544     1120 115         1495   0
 371  47.9718     746  76.544     1121 119.635     1496   0
 372  47.9718     747  86.2124    1122 119.635     1497   0
 373  32.7392     748 136.918     1123 114         1498   0
 374  32.7392     749 159.057     1124 114         1499   0
 375  78.4444     750   0         1125 104.858     1500   0
